RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Josh Allen,BUF,QB1,12,1 out of 5 stars,-
2,1,Jalen Hurts,PHI,QB2,5,2 out of 5 stars,-
3,1,Patrick Mahomes II,KC,QB3,6,3 out of 5 stars,-
4,1,Lamar Jackson,BAL,QB4,14,4 out of 5 stars,-
5,2,Anthony Richardson,IND,QB5,14,5 out of 5 stars,-
6,2,Christian McCaffrey,SF,RB1,9,2 out of 5 stars,-
7,2,C.J. Stroud,HOU,QB6,14,2 out of 5 stars,-
8,2,CeeDee Lamb,DAL,WR1,7,3 out of 5 stars,-
9,2,Joe Burrow,CIN,QB7,12,2 out of 5 stars,-
10,2,Tyreek Hill,MIA,WR2,6,2 out of 5 stars,-
11,2,Kyler Murray,ARI,QB8,11,2 out of 5 stars,-
12,2,Dak Prescott,DAL,QB9,7,2 out of 5 stars,-
13,2,Ja'Marr Chase,CIN,WR3,12,2 out of 5 stars,-
14,3,Bijan Robinson,ATL,RB2,12,4 out of 5 stars,-
15,3,Justin Jefferson,MIN,WR4,6,3 out of 5 stars,-
16,3,Amon-Ra St. Brown,DET,WR5,5,4 out of 5 stars,-
17,3,Breece Hall,NYJ,RB3,12,2 out of 5 stars,-
18,3,Jordan Love,GB,QB10,10,5 out of 5 stars,-
19,3,Brock Purdy,SF,QB11,9,2 out of 5 stars,-
20,3,A.J. Brown,PHI,WR6,5,2 out of 5 stars,-
21,3,Garrett Wilson,NYJ,WR7,12,4 out of 5 stars,-
22,4,Puka Nacua,LAR,WR8,6,3 out of 5 stars,-
23,4,Jahmyr Gibbs,DET,RB4,5,3 out of 5 stars,-
24,4,Jonathan Taylor,IND,RB5,14,2 out of 5 stars,-
25,4,Jayden Daniels,WAS,QB12,14,3 out of 5 stars,-
26,4,Tua Tagovailoa,MIA,QB13,6,2 out of 5 stars,-
27,4,Saquon Barkley,PHI,RB6,5,4 out of 5 stars,-
28,4,Jared Goff,DET,QB14,5,4 out of 5 stars,-
29,4,Marvin Harrison Jr.,ARI,WR9,11,3 out of 5 stars,-
30,4,Caleb Williams,CHI,QB15,7,4 out of 5 stars,-
31,4,Trevor Lawrence,JAC,QB16,12,5 out of 5 stars,-
32,4,Justin Herbert,LAC,QB17,5,2 out of 5 stars,-
33,4,Derrick Henry,BAL,RB7,14,3 out of 5 stars,-
34,4,Kyren Williams,LAR,RB8,6,3 out of 5 stars,-
35,4,Davante Adams,LV,WR10,10,3 out of 5 stars,-
36,4,Chris Olave,NO,WR11,12,3 out of 5 stars,-
37,5,Travis Etienne Jr.,JAC,RB9,12,2 out of 5 stars,-
38,5,Brandon Aiyuk,SF,WR12,9,2 out of 5 stars,-
39,5,Drake London,ATL,WR13,12,4 out of 5 stars,-
40,5,Kirk Cousins,ATL,QB18,12,3 out of 5 stars,-
41,5,Mike Evans,TB,WR14,11,3 out of 5 stars,-
42,5,Isiah Pacheco,KC,RB10,6,3 out of 5 stars,-
43,5,Nico Collins,HOU,WR15,14,3 out of 5 stars,-
44,5,Deebo Samuel Sr.,SF,WR16,9,2 out of 5 stars,-
45,5,Jaylen Waddle,MIA,WR17,6,2 out of 5 stars,-
46,5,Matthew Stafford,LAR,QB19,6,4 out of 5 stars,-
47,5,Travis Kelce,KC,TE1,6,3 out of 5 stars,-
48,5,Sam LaPorta,DET,TE2,5,3 out of 5 stars,-
49,5,DJ Moore,CHI,WR18,7,4 out of 5 stars,-
50,5,DK Metcalf,SEA,WR19,10,3 out of 5 stars,-
51,5,De'Von Achane,MIA,RB11,6,3 out of 5 stars,-
52,5,Michael Pittman Jr.,IND,WR20,14,4 out of 5 stars,-
53,6,Aaron Rodgers,NYJ,QB20,12,2 out of 5 stars,-
54,6,Deshaun Watson,CLE,QB21,10,4 out of 5 stars,-
55,6,Cooper Kupp,LAR,WR21,6,3 out of 5 stars,-
56,6,DeVonta Smith,PHI,WR22,5,2 out of 5 stars,-
57,6,Rachaad White,TB,RB12,11,5 out of 5 stars,-
58,6,Joe Mixon,HOU,RB13,14,3 out of 5 stars,-
59,6,Amari Cooper,CLE,WR23,10,3 out of 5 stars,-
60,6,Josh Jacobs,GB,RB14,10,1 out of 5 stars,-
61,6,Baker Mayfield,TB,QB22,11,2 out of 5 stars,-
62,6,Geno Smith,SEA,QB23,10,3 out of 5 stars,-
63,6,James Cook,BUF,RB15,12,2 out of 5 stars,-
64,6,Malik Nabers,NYG,WR24,11,3 out of 5 stars,-
65,6,Stefon Diggs,HOU,WR25,14,3 out of 5 stars,-
66,6,Will Levis,TEN,QB24,5,5 out of 5 stars,-
67,6,George Pickens,PIT,WR26,9,1 out of 5 stars,-
68,6,Mark Andrews,BAL,TE3,14,3 out of 5 stars,-
69,6,Kenneth Walker III,SEA,RB16,10,4 out of 5 stars,-
70,6,Trey McBride,ARI,TE4,11,5 out of 5 stars,-
71,6,Tee Higgins,CIN,WR27,12,2 out of 5 stars,-
72,6,Alvin Kamara,NO,RB17,12,5 out of 5 stars,-
73,6,Zay Flowers,BAL,WR28,14,3 out of 5 stars,-
74,6,Tank Dell,HOU,WR29,14,3 out of 5 stars,-
75,7,Derek Carr,NO,QB25,12,4 out of 5 stars,-
76,7,Christian Kirk,JAC,WR30,12,4 out of 5 stars,-
